round,Nikolai Rimsky-Korsakov,Igor Stravinsky,Richard Wagner
0,0.3333333333333333,0.3333333333333333,0.3333333333333333
1,0.3276749246384117,0.3428499484143053,0.3294751269472829
2,0.32386156836567825,0.3492995919127443,0.32683883972157757
3,0.3283845478928642,0.3446641534254019,0.3269512986817339
4,0.3306597729401484,0.3423478889688704,0.3269923380909811
5,0.33982421338491786,0.33312176508802377,0.3270540215270583
6,0.3209723727397515,0.344388964930578,0.33463866232967043
7,0.3190937559024673,0.3476140012412973,0.33329224285623543
8,0.3096292515687549,0.36397209379820455,0.3263986546330406
9,0.30962925156875487,0.3639720937982045,0.3263986546330405
10,0.30962925156875487,0.3639720937982045,0.3263986546330405
11,0.30962925156875487,0.3639720937982045,0.3263986546330405
12,0.3038587122975498,0.37403427264033096,0.32210701506211914
13,0.30604504009265343,0.3716911376391056,0.322263822268241
14,0.3021612400164653,0.37847417648850246,0.31936458349503205
15,0.3021612400164654,0.37847417648850257,0.3193645834950321
16,0.30653398174915625,0.37377424134518733,0.31969177690565637
17,0.31760169832177143,0.3620569029723884,0.3203413987058402
18,0.31984679767613805,0.35971065832794924,0.3204425439959127
19,0.31984679767613805,0.35971065832794924,0.3204425439959127
20,0.3288957565357756,0.35035634431701745,0.320747899147207
21,0.3288957565357756,0.35035634431701745,0.320747899147207
22,0.33347579521516757,0.34568325125273497,0.32084095353209735
23,0.3276151791730837,0.3554395522702194,0.3169452685566968
24,0.31631376066857714,0.3624803528728706,0.3212058864585522
25,0.3163137606685772,0.36248035287287067,0.32120588645855225
26,0.3104564183031183,0.37252473739242903,0.3170188443044527
27,0.3171393518995557,0.3654590191587435,0.3174016289417008
28,0.32164104677765804,0.3607502990588025,0.3176086541635395
29,0.32164104677765804,0.3607502990588025,0.3176086541635395
30,0.31787020250733483,0.36311161683713233,0.31901818065553283
31,0.320118439038437,0.3607609645972242,0.3191205963643387
32,0.320118439038437,0.3607609645972242,0.3191205963643387
33,0.320118439038437,0.3607609645972242,0.3191205963643387
34,0.320118439038437,0.3607609645972242,0.3191205963643387
35,0.3314593556768772,0.34905656638016386,0.319484077942959
36,0.3216336997918785,0.36548513825850815,0.31288116194961335
37,0.3156411928283504,0.37558995786855465,0.308768849303095
38,0.3156411928283504,0.37558995786855465,0.308768849303095
39,0.3156411928283504,0.37558995786855465,0.308768849303095
40,0.3007513107991719,0.38522030348016,0.314028385720668
41,0.307325550527252,0.3781271160749002,0.3145473333978477
42,0.29938615178869693,0.39188767119376217,0.30872617701754085
43,0.29938615178869693,0.39188767119376217,0.30872617701754085
44,0.30376604581340905,0.38712576613276706,0.30910818805382373
45,0.3037660458134091,0.3871257661327671,0.3091081880538238
