round,Claude Debussy,Sergei Prokofiev
0,0.5,0.5
1,0.5,0.5
2,0.5,0.5
3,0.5,0.5
4,0.5,0.5
5,0.5,0.5
6,0.5,0.5
7,0.5051503344651148,0.49484966553488524
8,0.5128925477106032,0.48710745228939684
9,0.5128925477106032,0.4871074522893968
10,0.5232437098937741,0.476756290106226
11,0.5232437098937741,0.47675629010622594
12,0.4968391072322612,0.5031608927677388
13,0.49683910723226127,0.5031608927677388
14,0.49226707176942497,0.5077329282305751
15,0.4999637071975016,0.5000362928024984
16,0.49996370719750166,0.5000362928024984
17,0.507688741657347,0.49231125834265316
18,0.5076887416573469,0.49231125834265305
19,0.5076887416573469,0.49231125834265305
20,0.5180206658247353,0.4819793341752647
21,0.5206144729792428,0.4793855270207573
22,0.5335802972582258,0.4664197027417743
23,0.4989891963174901,0.5010108036825099
24,0.5092841738429319,0.49071582615706816
25,0.5170389407804182,0.48296105921958166
26,0.5196319017448795,0.4803680982551205
27,0.5196319017448795,0.48036809825512045
28,0.5274136269351852,0.4725863730648147
29,0.5274136269351852,0.4725863730648147
30,0.5326138504401725,0.46738614955982744
31,0.5378201342935613,0.4621798657064387
32,0.5378201342935613,0.4621798657064387
33,0.4948843858156467,0.5051156141843534
34,0.4948843858156467,0.5051156141843534
35,0.4672220759076177,0.5327779240923821
36,0.4575797742486004,0.5424202257513996
37,0.4575797742486004,0.5424202257513996
38,0.4575797742486004,0.5424202257513996
39,0.4575797742486004,0.5424202257513996
40,0.43886247884282603,0.5611375211571741
